time,v1,a1,v2,a2,v3,a3,tA,tB,tC
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
{"time":"17:20:43","v1":65,"a1":76,"v2":65,"a2":76,"v3":65,"a3":76,"t1":30,"t2":40,"t3":15}
